FID,row_number,idserv,clave,cueanexo,nombre,id_modalidad,modalidad,id_nivel,nivel,id_periodo,periodo,calle,nro,calle_lateral_derecha,calle_lateral_izquierda,id_localidad,localidad,codigo_postal,id_distrito,distrito,region,region_educativa,categoria,depend_func,caracteristica_telefonica,nro_telefono,rpv,email,desfavorabilidad,subvencion,id_ubicacion,ubicacion,id_sector,sector,id_dependencia,dependencia,id_tipo_organizacion,tipo_organizacion,matricula,varones,mujeres,secciones,turnos,capa,area,seccion_electoral,sede_axo_ext,esc_sede,cue,anexo,nro_escuela,latitud,longitud,cui,the_geom
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60d4,257,219,0001PP0012,060291900,"ESCUELA DE EDUCACIÓN PRIMARIA Nº12 ""DR. VICTORIANO E. MONTES""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,14 A,S/N,467,471,1696,CITY BELL,1896,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,480-0163,21001,primaria12citybell@yahoo.com.ar,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,515,267,248,24,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,602919,0,0012,-34.86923065,-58.0488024,600102193,POINT (-58.04880240420256 -34.86923065067114)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60d3,258,220,0001PP0013,060288600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº13 ""MARTÍN FIERRO""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,524 Y 158,S/N,158,524,504,LA PLATA,1903,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,478-0842,,iddsandra.2@gmail.com,1,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,537,281,256,16,"INTERMEDIO,MAÑANA",2,INTERIOR,8,SEDE,,602886,0,0013,-34.94234009,-58.03071743,600100082,POINT (-58.03071742726217 -34.94234009481651)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60d2,259,221,0001PP0014,060071500,"ESCUELA DE EDUCACIÓN PRIMARIA Nº14 ""JUSTINA OCAMPO DE WEST""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,423,748,6 BIS,7,514,VILLA ELISA,1894,001,La Plata,01,Región I,Segunda,Dirección Provincial de Educación Primaria,0221,487-1365,21293,stellamarissecretaria@hotmail.es,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,171,98,73,6,"""DOBLE ESCOLARIDAD""",2,INTERIOR,8,SEDE,,600715,0,0014,-34.85725133,-58.07548808,600102563,POINT (-58.07548807540964 -34.857251333879304)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60d1,260,222,0001PP0015,060290300,"ESCUELA DE EDUCACIÓN PRIMARIA Nº15 ""JOSÉ MANUEL ESTRADA""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,4 E/ 62 Y 63,S/N,62,63,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,421-3902,21053,escuelaprimaria15laplata@hotmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,585,312,273,20,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,602903,0,0015,-34.92008623,-57.93549904,600102268,POINT (-57.93549904453852 -34.920086233189146)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60d0,261,223,0001PP0016,060888600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº16 ""VICENTE LOPEZ Y PLANES""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,28,728,46,47,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,479-3984,21209,ndemartinelli@yahoo.com.ar,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,603,331,272,24,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,608886,0,0016,-34.93229695,-57.97400209,600102707,POINT (-57.97400209161708 -34.93229694824199)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60cf,262,224,0001PP0017,060642100,"ESCUELA DE EDUCACIÓN PRIMARIA Nº17 ""LUIS CASTELLS""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,6 E/ 50 Y 51,S/N,51,50,514,VILLA ELISA,1894,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,487-0205,21289,ambrunatti@hotmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,360,196,164,12,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,606421,0,0017,-34.84990107,-58.08755186,600105221,POINT (-58.08755185922637 -34.84990107317344)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60ce,263,225,0001PP0018,060290900,"ESCUELA DE EDUCACIÓN PRIMARIA Nº18 ""JULIAN AGUIRRE""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,16 E/ 500 Y 501,S/N,,,1699,GONNET,1897,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,484-0229,21281,nancymp93@hotmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,566,285,281,24,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,602909,0,0018,-34.88259995,-58.01392182,600102711,POINT (-58.01392181913115 -34.882599945228115)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60cd,264,226,0001PP0019,061135600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº19 ""GENERAL JOSÉ DE SAN MARTIN""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,41 Y 22,S/N,41,22,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,470-6381,21205,sanmartin_41@yahoo.com.ar,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,793,387,406,29,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,611356,0,0019,-34.92251008,-57.97411017,600101449,POINT (-57.97411016764397 -34.92251007607561)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60cc,265,227,0001PP0020,060922600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº20 ""SARGENTO JUAN B. CABRAL""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,187,S/N,641,639,3100,POBLET,1905,001,La Plata,01,Región I,Tercera,Dirección Provincial de Educación Primaria,0221,490-4629,68601,escuelaprimaria20poblet@outlook.com,3,Oficial,3,Rural Disperso,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,418,220,198,12,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,609226,0,0020,-35.06009015,-57.9543732,600102345,POINT (-57.95437319725881 -35.06009015143556)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60cb,266,228,0001PP0021,061138600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº21 ""DR. AGUSTIN B. GAMBIER""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,62 E/ 139 Y 140,S/N,,,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,450-4625,21171,ep21abg@hotmail.com.ar,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,1179,599,580,41,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,611386,0,0021,-34.95352599,-57.97293106,600105428,POINT (-57.972931062912075 -34.953525991927414)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60ca,267,229,0001PP0022,061140100,"ESCUELA DE EDUCACIÓN PRIMARIA Nº22 ""HIPOLITO YRIGOYEN""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,76 ESQ. 23,S/N,,,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,457-8602,21414,nanchitamiguel@yahoo.com.ar,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,382,189,193,12,"""DOBLE ESCOLARIDAD""",2,INTERIOR,8,SEDE,,611401,0,0022,-34.94937179,-57.94034269,600100285,POINT (-57.940342686059424 -34.949371794968464)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60c9,268,230,0001PP0023,060072800,"ESCUELA DE EDUCACIÓN PRIMARIA Nº23 ""MERCEDITAS DE SAN MARTIN""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,7 Y 601,S/N,,,516,VILLA MONTORO,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,486-2792,70041,ep23merceditas@gmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,529,275,254,18,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,600728,0,0023,-34.95186742,-57.90143148,600100445,POINT (-57.90143148346881 -34.95186741994112)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60c8,269,231,0001PP0024,060071400,"ESCUELA DE EDUCACIÓN PRIMARIA Nº24 ""LUIS RICOME DE HUSSON""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,3 E/ 421 Y 422,S/N,,,514,VILLA ELISA,1894,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,473-1450,21291,ep24ve@gmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,458,227,231,20,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,600714,0,0024,-34.85152388,-58.07390507,600102500,POINT (-58.07390506985838 -34.85152387642308)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60c7,270,232,0001PP0025,060898900,"ESCUELA DE EDUCACIÓN PRIMARIA Nº25 ""CORONEL MANUEL DORREGO""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,13 E/ 511 Y 512 CAMINO CENTENARIO,S/N,511,512,509,RINGUELET,1901,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,484-0243,20021,ep25coroneldorreo@hotmail.com.ar,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,241,126,115,12,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,608989,0,0025,-34.88857791,-57.99836686,600100228,POINT (-57.99836686173556 -34.88857790704149)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60c6,271,233,0001PP0026,060287800,"ESCUELA DE EDUCACIÓN PRIMARIA Nº26 ""MAGDALENA GÜEMES DE TEJADA""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,207 E/516 Y 516 BIS,S/N,,,490,ABASTO,1903,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,491-6636,,abastoescuela26@gmail.com,1,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,1214,608,606,36,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,602878,0,0026,-34.98100156,-58.09111384,600105209,POINT (-58.091113841969374 -34.9810015620151)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60c5,272,234,0001PP0027,060922700,"ESCUELA DE EDUCACIÓN PRIMARIA Nº27 ""CRUCERO GENERAL BELGRANO""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,4 E/ 611 Y 612,S/N,611,612,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,486-2815,,ep27lp@gmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,511,270,241,20,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,609227,0,0027,-34.95395663,-57.88725613,600100271,POINT (-57.887256132856606 -34.95395663498621)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60c4,273,235,0001PP0028,060923200,"ESCUELA DE EDUCACIÓN PRIMARIA Nº28 ""REPUBLICA DEL PERU""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,185 Y 78,2310,79,78,506,LOS HORNOS,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,496-2113,21383,primaria28@outlook.com.ar,2,Oficial,3,Rural Disperso,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,710,344,366,24,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,609232,0,0028,-35.00997222,-58.0018879,600101355,POINT (-58.00188790090018 -35.00997221804015)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60c3,274,236,0001PP0029,060285200,"ESCUELA DE EDUCACIÓN PRIMARIA Nº29 ""JOAQUIN CASTELLANOS""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,25 E/ 526 Y 527,29,526,527,512,TOLOSA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,479-8767,?,ep29.laplata@hotmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,586,302,284,24,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,602852,0,0029,-34.91283798,-57.99314988,600102592,POINT (-57.99314988000414 -34.91283797540548)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60c2,275,237,0001PP0030,060285100,"ESCUELA DE EDUCACIÓN PRIMARIA Nº30 ""TERESA PUCCIARELLI""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,15  ENTRE 521 Y 522,1071,521,522,492,ARTURO SEGUI,1895,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,421-9234,21387,mirirosgerez@hotmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,339,168,171,12,"""DOBLE ESCOLARIDAD""",2,INTERIOR,8,SEDE,,602851,0,0030,-34.89910688,-57.98892603,600102603,POINT (-57.98892602890721 -34.89910687727719)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60c1,276,238,0001PP0031,060285300,"ESCUELA DE EDUCACIÓN PRIMARIA Nº31 ""NUESTRA SEÑORA DEL CARMEN DE CUYO""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,3 E/ 527 Y 528,436,,,512,TOLOSA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,483-4326,21260,andreabossi15@hotmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,326,154,172,12,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,602853,0,0031,-34.89313478,-57.97007159,600102537,POINT (-57.970071592033904 -34.893134779780596)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60c0,277,239,0001PP0032,060887000,"ESCUELA DE EDUCACIÓN PRIMARIA Nº32 ""ARTURO SEGUI""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,144 E/ 414 Y 415,S/N,,,492,ARTURO SEGUI,1895,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,474-2657,21348,mimarca3@yahoo.com.ar,1,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,551,282,269,19,"""DOBLE ESCOLARIDAD"",MAÑANA,TARDE",2,INTERIOR,8,SEDE,,608870,0,0032,-34.88783467,-58.12563301,600100339,POINT (-58.125633009151954 -34.88783466503546)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60bf,278,240,0001PP0033,060286000,"ESCUELA DE EDUCACIÓN PRIMARIA Nº33 ""JUAN MANUEL ORTIZ DE ROZAS""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,8 ESQ. 38,S/N,,,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,421-6304,,escuelaprimaria33lp@gmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,644,332,312,24,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,602860,0,0033,-34.90695727,-57.96310875,600102724,POINT (-57.96310875206097 -34.90695727435506)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60be,279,241,0001PP0034,060416600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº34 ""CELIA ZEBALLOS DE HEREDIA""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,461 B,S/N,15,14C,1696,CITY BELL,1896,001,La Plata,01,Región I,Segunda,Dirección Provincial de Educación Primaria,0221,472-4458,21335,escuela_34@yahoo.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,156,85,71,6,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,604166,0,0034,-34.86799673,-58.05870284,600102397,POINT (-58.05870283736115 -34.867996725965384)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60bd,280,242,0001PP0035,060923000,"ESCUELA DE EDUCACIÓN PRIMARIA Nº35 ""LEANDRO N. ALEM""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,90 Y 155,S/N,,,504,LA PLATA,1900,001,La Plata,01,Región I,Segunda,Dirección Provincial de Educación Primaria,0221,566-5222,96333,sandramani@hotmail.com,3,Oficial,3,Rural Disperso,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,410,214,196,12,MAÑANA,2,INTERIOR,8,SEDE,,609230,0,0035,-34.98885723,-57.95881931,600101902,POINT (-57.95881931235503 -34.98885722727554)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60bc,281,243,0001PP0036,060298300,"ESCUELA DE EDUCACIÓN PRIMARIA Nº36 ""DR. CARLOS LUIS SPEGAZZINI""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,495 ESQ. 25,3006,25,26,1699,GONNET,1897,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,471-3643,21362,epcarlos36@hotmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,356,190,166,15,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,602983,0,0036,-34.8911443,-58.02665751,600102473,POINT (-58.026657512528836 -34.89114430056596)
Nivel_Primario_G_Estatal.fid--3f1fc7b2_18a3e5760de_-60bb,282,244,0001PP0037,060887600,"ESCUELA DE EDUCACIÓN PRIMARIA Nº37 ""REMEDIOS DE ESCALADA""",1,Educación Común,2,Nivel Primario,103,Inicial 2023,Nº 2 E/ 44 Y 45,639,45,44,504,LA PLATA,1900,001,La Plata,01,Región I,Primera,Dirección Provincial de Educación Primaria,0221,421-5393,21066,primaria37.laplata@gmail.com,0,Oficial,1,Urbano,6,Estatal,0,Oficial,PP,ESCUELA DE EDUCACIÓN PRIMARIA,366,180,186,14,"MAÑANA,TARDE",2,INTERIOR,8,SEDE,,608876,0,0037,-34.90677289,-57.94942915,600102730,POINT (-57.94942914804089 -34.906772886840415)
