track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_name,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Long Time Coming,Caitlyn Smith,50,Long Time Coming,2020-01-10,The Pulse of Indie Poptimism,pop,indie poptimism,0.242,0.591,7,-3.475,0,0.0505,0.0976,1.72E-05,0.122,0.321,198.732,204360
Crash My Car,COIN,10,Crash My Car,2019-06-13,"Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)",pop,indie poptimism,0.244,0.645,5,-5.863,1,0.0456,0.00178,0.00574,0.301,0.529,183.577,188307
Crash My Car,COIN,65,Crash My Car,2019-06-13,2019 in Indie Poptimism,pop,indie poptimism,0.244,0.645,5,-5.863,1,0.0456,0.00178,0.00574,0.301,0.529,183.577,188307
Drive-by Stalking,Nightstop,1,Drive-by Stalking,2013-11-09,Electropop And Play,pop,electropop,0.246,0.873,7,-4.78,0,0.0419,0.000528,0.95,0.154,0.157,124.016,320000
"Take Me Home, Country Roads - Rerecorded",John Denver,44,"The John Denver Collection, Vol. 1: Take Me Home Country Roads",1997-06-17,Dr. Q's Prescription Playlist,pop,post-teen pop,0.255,0.43,9,-12.564,1,0.0322,0.546,1.87E-05,0.188,0.546,164.267,197813
Sirens,Fleurie,47,Sirens,2016-01-01,Deep-deep Bubble Pop,pop,indie poptimism,0.255,0.479,7,-9.643,1,0.031,0.416,0.579,0.103,0.0609,136.827,266277
Dusk Till Dawn - Radio Edit,ZAYN,81,Dusk Till Dawn (Radio Edit),2017-09-07,Pop Inglİs (2020 - 2010s) Mşsica En Inglİs 2010s,pop,dance pop,0.258,0.437,11,-6.593,0,0.039,0.101,1.27E-06,0.106,0.0967,180.043,239000
Dusk Till Dawn - Radio Edit,ZAYN,81,Dusk Till Dawn (Radio Edit),2017-09-07,The Sound of Post-Teen Pop,pop,post-teen pop,0.258,0.437,11,-6.593,0,0.039,0.101,1.27E-06,0.106,0.0967,180.043,239000
Weaker Girl,BANKS,0,The Altar,2016-09-30,Deep-deep Bubble Pop,pop,indie poptimism,0.26,0.432,9,-10.198,0,0.0353,0.171,0.00765,0.239,0.267,164.154,256080
Times Like These,Eden Project,52,Times Like These,2016-05-13,Indie Poptimism,pop,indie poptimism,0.262,0.458,4,-7.228,1,0.0368,0.887,3.38E-05,0.356,0.118,145.353,286537
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,77,Delirium (Deluxe),2015-11-06,ELECTROPOP,pop,electropop,0.262,0.606,8,-6.646,1,0.0484,0.247,0,0.125,0.275,189.857,252534
Paris 12,Linying,0,Paris 12,2016-09-30,Deep-deep Bubble Pop,pop,indie poptimism,0.264,0.205,10,-10.527,1,0.031,0.922,6.89E-05,0.0851,0.105,84.24,225505
Rise and Fall - Colony 5 Remix,Colony 5,0,The Beauty Lies... (Original Mix),2009-10-23,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,pop,electropop,0.267,0.787,2,-7.766,1,0.0428,0.00692,0.505,0.18,0.268,130.039,316160
When You Wish Upon A Star,The Mamas,55,When You Wish Upon A Star,2019-11-08,90s Dance Hits,pop,dance pop,0.267,0.21,9,-8.994,1,0.0292,0.825,0,0.105,0.288,194.352,183667
Pour Some Sugar On Me - Remastered 2017,Def Leppard,74,Hysteria (Super Deluxe),1987-08-03,Dr. Q's Prescription Playlist,pop,post-teen pop,0.267,0.953,1,-4.899,0,0.096,0.00211,0,0.283,0.568,84.989,267307
Breakaway,Kelly Clarkson,61,Breakaway,2004,post teen pop,pop,post-teen pop,0.268,0.716,9,-4.151,0,0.0337,0.0421,9.88E-06,0.108,0.393,160.008,237000
21 Guns,Green Day,75,21st Century Breakdown,2009-05-15,Dr. Q's Prescription Playlist,pop,post-teen pop,0.268,0.742,5,-4.939,1,0.0355,0.0518,0,0.626,0.416,159.779,321093
"Parte De Tu Mundo - De ""La Sirenita""/Banda Sonora Original",Mar­a Caneda,33,La Sirenita (Banda Sonora Original),2002-01-01,Post teen pop,pop,post-teen pop,0.27,0.279,5,-10.319,1,0.0346,0.953,0.00142,0.0937,0.366,87.182,192013
"Archie, Marry Me",Alvvays,62,Alvvays,2014-07-22,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.27,0.83,7,-4.592,1,0.0741,0.00956,0.434,0.142,0.205,117.314,196560
Take Off Your Colours,You Me At Six,0,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,pop,post-teen pop,0.272,0.929,1,-4.06,1,0.153,0.00168,4.7E-05,0.147,0.398,87.148,197133
Paradise City,Guns N' Roses,16,Appetite For Destruction,1987-01-01,Dr. Q's Prescription Playlist,pop,post-teen pop,0.274,0.949,11,-8.642,1,0.0896,0.0214,0.00778,0.218,0.497,100.346,406307
Forget you,Skyverse,18,Forget you,2019-10-18,The Edge of Indie Poptimism,pop,indie poptimism,0.276,0.499,1,-6.017,1,0.0315,0.842,0.311,0.194,0.0438,117.597,200000
Use Somebody,Kings of Leon,75,Only By The Night,2008-09-23,A Loose Definition of Indie Poptimism,pop,indie poptimism,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,230760
Take Me Out,Franz Ferdinand,73,Franz Ferdinand,2004,Indie Poptimism,pop,indie poptimism,0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,0.494,104.545,237027
Animals,Maroon 5,64,V (Deluxe),2015-05-18,Electropop - Pop,pop,electropop,0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,231013
Animals,Maroon 5,75,V,2015-05-15,Dr. Q's Prescription Playlist,pop,post-teen pop,0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,231013
Animals,Maroon 5,75,V,2015-05-15,ElectroPop 2020,pop,electropop,0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,231013
Drive (feat. Ezra Carey),Myzica,23,Love & Desire,2016-09-09,The Sound of Indie Poptimism,pop,indie poptimism,0.281,0.654,9,-7.765,0,0.0359,0.268,0.000478,0.0631,0.549,172.009,206613
BB's Theme,Ludvig Forssell,53,BB's Theme,2019-10-30,Electropop And Play,pop,electropop,0.282,0.428,1,-9.812,0,0.0311,0.227,0.000158,0.0897,0.0392,83.608,316520
Voted Most Likely,Man Overboard,13,Man Overboard,2011-09-26,Pop Punk | Post-Hardcore,pop,post-teen pop,0.283,0.966,3,-4.45,1,0.126,2.37E-05,0,0.121,0.639,171.743,171680
"Wow, I'm Not Crazy",AJR,56,Neotheater,2019-04-26,2019 in Indie Poptimism,pop,indie poptimism,0.284,0.609,3,-6.033,1,0.123,0.0438,0,0.177,0.521,85.386,196763
Terrible Things - EP Version,Mayday Parade,59,Valdosta EP,2009-10-06,Pop Punk | Post-Hardcore,pop,post-teen pop,0.285,0.371,1,-6.833,1,0.0295,0.698,0.00392,0.104,0.372,154.989,238076
Chandelier,Sia,54,Chandelier,2014-03-17,Electropop Hits  2017-2020,pop,electropop,0.286,0.784,1,-2.873,1,0.0749,0.0163,6.48E-05,0.0713,0.618,173.793,216120
Broken Wings,Mr. Mister,65,Welcome To The Real World,1985-06-01,80's Songs | Top Ż 80s Music Hits,pop,electropop,0.286,0.473,1,-15.646,0,0.0388,0.115,4.23E-05,0.071,0.449,99.233,345840
ghostin,Ariana Grande,73,"thank u, next",2019-02-08,Post Teen Pop,pop,post-teen pop,0.287,0.364,9,-8.295,1,0.0306,0.418,1.8E-05,0.185,0.11,103.777,271467
Flares,The Script,59,No Sound Without Silence,2014-09-12,a taste of the mainstream,pop,post-teen pop,0.292,0.351,0,-9.883,0,0.0351,0.408,0,0.055,0.0658,164.252,229320
Kings of the Mountain,Lonely The Brave,0,The Day's War,2014-09-03,Pop Punk | Post-Hardcore,pop,post-teen pop,0.294,0.929,9,-3.712,1,0.0425,0.0001,0,0.0773,0.26,165.239,260787
Takeaway (feat. Lennon Stella),The Chainsmokers,67,World War Joy...Takeaway,2019-07-24,Dance Pop,pop,dance pop,0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
Takeaway (feat. Lennon Stella),The Chainsmokers,67,World War Joy...Takeaway,2019-07-24,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,pop,post-teen pop,0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
Takeaway (feat. Lennon Stella),The Chainsmokers,67,World War Joy...Takeaway,2019-07-24,indie poptimismşğ,pop,indie poptimism,0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
In The Face Of Evil,Magic Sword,56,Volume 1,2015-01-09,Electropop And Play,pop,electropop,0.296,0.764,11,-4.499,0,0.0315,0.011,0.0724,0.158,0.144,143.89,409000
Wait for Me,CTZNJ,43,Wait for Me,2020-01-02,TUNES DANCE AND POP,pop,dance pop,0.298,0.571,0,-13.515,1,0.0932,0.0858,0.225,0.132,0.37,89.89,199793
22 (OVER SââN),Bon Iver,59,"22, A Million",2016-09-30,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.298,0.112,1,-15.765,1,0.0353,0.972,0.0823,0.0935,0.0972,86.786,168000
atlantis,RUFUS,37,atlantis,2019-11-20,The Edge of Indie Poptimism,pop,indie poptimism,0.3,0.36,1,-9.111,1,0.0319,0.455,0.000145,0.194,0.145,180.403,160500
City Vocabulary,Hause Plants,19,City Vocabulary,2020-01-06,Electro Pop | Electropop,pop,electropop,0.301,0.906,4,-4.854,1,0.0757,0.347,0.663,0.597,0.361,150.109,184756
Illuminate,TENDER,32,Modern Addiction,2017-09-01,Music&Other Drugs,pop,indie poptimism,0.302,0.535,9,-7.829,0,0.0525,0.635,0.643,0.112,0.297,82.242,190707
Without the Bitter the Sweet Isn't as Sweet,Mayday Parade,38,Mayday Parade (Deluxe Edition),2011-10-03,Pop Punk | Post-Hardcore,pop,post-teen pop,0.303,0.591,11,-3.949,1,0.0335,0.0127,0,0.117,0.317,110.065,212160
Feels Like We Only Go Backwards,Tame Impala,75,Lonerism,2012-01-01,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,192960
Turbo Killer,Carpenter Brut,0,TRILOGY,2017-06-28,Electropop And Play,pop,electropop,0.306,0.794,5,-1.657,0,0.0634,5.91E-05,0.0801,0.3,0.302,147.163,208973
Jealous Minds Think Alike,You Me At Six,0,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,pop,post-teen pop,0.308,0.937,7,-2.903,1,0.0593,0.00265,0.153,0.114,0.379,172.043,217027
Bad Habits,The Federal Empire,48,I Never Liked Your Friends,2019-07-12,Indie Poptimism,pop,indie poptimism,0.309,0.869,2,-3.298,1,0.0771,0.0136,0,0.0454,0.454,111.614,257076
HEAVEN AND BACK,Chase Atlantic,57,PHASES,2019-06-28,"Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)",pop,indie poptimism,0.309,0.793,10,-6.195,0,0.0774,0.0902,0.092,0.0888,0.532,193.714,248240
"How Far I'll Go - From ""Moana""",Alessia Cara,70,"How Far I'll Go (From ""Moana"")",2016-10-28,Post pop teen,pop,post-teen pop,0.309,0.544,9,-9.621,1,0.352,0.155,0.000265,0.0727,0.16,180.979,175517
To The Hilt,BANKS,0,The Altar,2016-09-30,Deep-deep Bubble Pop,pop,indie poptimism,0.31,0.101,8,-13.796,0,0.0697,0.953,0,0.0955,0.0778,65.119,276747
She's Finding Me Out,The Friday Night Boys,31,Off The Deep End,2009,Pop Punk | Post-Hardcore,pop,post-teen pop,0.31,0.7,8,-5.999,1,0.0331,0.00763,0,0.055,0.251,185.892,227493
Superficial Love,Karim Mika,41,Superficial Love,2018-10-05,Pop Dance Hits,pop,dance pop,0.31,0.832,1,-3.574,1,0.0373,0.197,0,0.104,0.233,74.824,232500
Por fin ya veo la luz,Carmen L³pez,41,Enredados (Rapunzel) OST,2011-01-01,Post teen pop,pop,post-teen pop,0.31,0.167,5,-14.525,1,0.029,0.856,0,0.0766,0.226,98.343,224227
One Magic Moment,Bad Suns,48,Mystic Truth,2019-03-22,2019 in Indie Poptimism,pop,indie poptimism,0.31,0.741,6,-5.137,1,0.0366,0.000406,9.75E-05,0.107,0.289,120.065,217333
Back In Black,AC/DC,83,Back In Black,1980-07-25,Dr. Q's Prescription Playlist,pop,post-teen pop,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493
Kidnap Me,CRUISR,47,All Over,2014,Indie Poptimism,pop,indie poptimism,0.312,0.789,0,-6.29,1,0.0615,0.0251,1.05E-05,0.186,0.82,176.745,202200
Love Will Tear Us Apart - Live at Bestival 2012,New Order,13,Live at Bestival 2012,2013-07-08,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",pop,electropop,0.313,0.98,4,-6.447,1,0.123,0.00152,0.525,0.907,0.439,143.962,326760
"How Far I'll Go - From ""Moana""",Alessia Cara,17,"How Far I'll Go (From ""Moana"")",2016-10-28,A Loose Definition of Indie Poptimism,pop,indie poptimism,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666,175517
Still Don't Know My Name,Labrinth,75,Euphoria (Original Score from the HBO Series),2019-10-04,Pop Inglİs (2020 - 2010s) Mşsica En Inglİs 2010s,pop,dance pop,0.314,0.63,5,-5.963,1,0.116,0.471,0.266,0.205,0.312,88.244,153294
Your Best American Girl,Mitski,31,Puberty 2,2017-10-20,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.316,0.257,7,-9.802,1,0.0331,0.0168,0.00484,0.244,0.113,77.009,212184
You Wonât Answer My Phone Calls but I Bet Youâll Listen to This Song so I Guess This Is the Only Way to Talk to You,Adam Jensen,47,You Wonât Answer My Phone Calls but I Bet Youâll Listen to This Song so I Guess This Is the Only Way to Talk to You,2019-12-23,The Pulse of Indie Poptimism,pop,indie poptimism,0.318,0.513,10,-7.607,0,0.0696,0.699,0,0.127,0.591,183.039,186120
Dein Anblick,Schandmaul,11,Sinnfonie,2009-01-03,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,pop,electropop,0.319,0.697,4,-8.624,0,0.0853,0.228,0,0.944,0.305,97.436,368267
Break The Sky,Dust of Apollon,29,Break The Sky,2020-01-13,The Edge of Indie Poptimism,pop,indie poptimism,0.319,0.536,0,-5.857,1,0.0478,0.376,0.269,0.408,0.223,75.984,190120
Sorry,Aquilo,5,Sorry,2016-11-11,Deep-deep Bubble Pop,pop,indie poptimism,0.32,0.295,2,-11.263,1,0.052,0.691,0,0.129,0.171,177.4,255205
EsperĦndola sin mĦs,Ignasi Vidal,32,La Bella y la Bestia (Beauty and the Beast) [Banda Sonora Original en Castellano/Edici³n Deluxe],2017-03-17,Post teen pop,pop,post-teen pop,0.321,0.405,8,-8.459,1,0.0376,0.88,0.000174,0.105,0.221,97.272,194533
Save It For The Bedroom,You Me At Six,0,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,pop,post-teen pop,0.323,0.956,1,-2.507,1,0.0536,0.00105,0.000169,0.147,0.491,186.089,239053
Walk Away,LANY,0,Hot Lights,2014-04-22,Indie Poptimism!,pop,indie poptimism,0.323,0.382,10,-9.649,1,0.0342,0.264,0.000418,0.103,0.268,85.306,231692
Heat Of The Moment,Asia,8,Asia,1982-01-01,80's Songs | Top Ż 80s Music Hits,pop,electropop,0.324,0.84,1,-7.31,1,0.0489,0.358,0.000239,0.367,0.576,136.136,227627
Helplessness Blues,Fleet Foxes,59,Helplessness Blues,2011-05-03,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.324,0.463,8,-7.247,1,0.0336,0.0781,5.63E-06,0.103,0.2,125.295,303387
Young And Beautiful,Lana Del Rey,75,Young And Beautiful,2013-01-01,"post-teen alternative, indie, pop (large variety)",pop,post-teen pop,0.324,0.416,11,-8.92,0,0.0368,0.262,3.69E-05,0.11,0.151,113.986,236053
Cybertronic Purgatory - EP Version,Janelle MonĦe,30,Metropolis: The Chase Suite (Special Edition),2008-08-12,This Is Janelle MonĦe,pop,electropop,0.326,0.0879,6,-25.361,0,0.0417,0.938,0.572,0.0935,0.0467,120.554,95013
When It Rains,Mr. Popular,33,When It Rains,2019-12-26,The Edge of Indie Poptimism,pop,indie poptimism,0.326,0.396,4,-8.936,1,0.0324,0.862,8.99E-05,0.109,0.0614,86.943,157500
Lo Que Siento,Cuco,76,Lo Que Siento,2017-05-25,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.326,0.685,10,-5.576,1,0.179,0.503,0,0.427,0.409,86.882,312000
Demons,Imagine Dragons,20,Night Visions (Deluxe),2012-09-04,Electropop - Pop,pop,electropop,0.327,0.71,3,-2.928,1,0.0547,0.202,9E-05,0.28,0.416,179.561,175200
Mind Games,BANKS,0,The Altar,2016-09-30,Deep-deep Bubble Pop,pop,indie poptimism,0.331,0.34,9,-10.106,0,0.0383,0.639,0,0.11,0.111,95.011,289120
Lighthouse,Lion-S,13,Lion-S,2016-07-05,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,pop,indie poptimism,0.331,0.79,10,-6.506,1,0.0533,0.00247,0.00646,0.338,0.164,119.911,273296
Lost And Found - ODESZA Remix,Pretty Lights,36,Divergent: Original Motion Picture Soundtrack,2014-01-01,Indie Poptimism,pop,indie poptimism,0.333,0.679,9,-6.09,1,0.415,0.00154,0.157,0.172,0.0531,89.968,276867
Hero,Christopher Wilde,60,StarStruck,2010-01-01,The Sound of Post-Teen Pop,pop,post-teen pop,0.333,0.902,3,-4.65,1,0.123,0.0279,0,0.115,0.601,185.539,196893
Piano Man,Billy Joel,70,The Essential Billy Joel,2001-10-02,Dr. Q's Prescription Playlist,pop,post-teen pop,0.334,0.472,0,-8.792,1,0.0277,0.6,3.77E-06,0.317,0.431,179.167,336093
Kusanagi,ODESZA,54,In Return,2014-09-08,POPTIMISM,pop,indie poptimism,0.335,0.33,0,-8.302,1,0.031,0.472,0.41,0.164,0.04,75.07,208000
raindrops (an angel cried),Ariana Grande,35,Sweetener,2018-08-17,Post Teen Pop,pop,post-teen pop,0.336,0.231,1,-6.217,1,0.0493,0.943,0,0.183,0.431,168.724,37640
The Climb,Miley Cyrus,72,The Time Of Our Lives (International Version),2009-01-01,post teen pop,pop,post-teen pop,0.336,0.602,4,-6.354,1,0.0325,0.0635,0,0.141,0.299,161.01,234520
AcĦ Entera,Javiera Mena,0,Mena,2010-09-01,This Is: Javiera Mena,pop,electropop,0.338,0.921,1,-5.859,1,0.037,0.0133,0.163,0.0851,0.506,120.025,209773
Only Ever,Alive City,54,Only Ever,2019-08-15,Christian Dance Party,pop,dance pop,0.338,0.598,4,-6.228,1,0.107,0.104,0,0.251,0.388,84.011,201041
isohel,EDEN,63,isohel,2020-01-10,The Pulse of Indie Poptimism,pop,indie poptimism,0.338,0.512,4,-9.596,1,0.11,0.786,3.93E-06,0.819,0.203,89.15,270677
You Found Me,The Fray,74,The Fray,2009-01-30,Indie Poptimism,pop,indie poptimism,0.338,0.803,8,-5.412,0,0.0413,0.0187,0,0.136,0.4,151.994,241853
Black & Blue,VIVID,31,Black & Blue,2018-11-09,Pop Dance Hits,pop,dance pop,0.339,0.775,8,-5.687,0,0.0709,0.069,0,0.141,0.261,165.474,212364
Feel It All Around,Washed Out,4,Life Of Leisure,2010-03-01,Indie Poptimism!,pop,indie poptimism,0.34,0.737,8,-4.681,1,0.0582,0.000105,0.762,0.0699,0.499,172.022,192080
Therapy,All Time Low,0,Nothing Personal,2009-07-06,Pop Punk | Post-Hardcore,pop,post-teen pop,0.341,0.724,9,-4.514,1,0.0339,0.0236,0,0.149,0.154,169.687,224200
Warm on a Cold Night,HONNE,59,Warm On A Cold Night (Deluxe),2016-07-13,Indie/Jazz Poptimism,pop,indie poptimism,0.342,0.609,8,-5.68,1,0.0943,0.185,0.00052,0.0799,0.401,82.989,261595
Mama No,Pablo L³pez,59,Mama No,2019-11-07,Todo xitos,pop,dance pop,0.344,0.517,4,-7.162,1,0.0462,0.607,0,0.106,0.136,80.061,170738
Hannah Hunt,Vampire Weekend,62,Modern Vampires of the City,2013-05-27,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.345,0.313,4,-10.098,1,0.0681,0.717,0.000822,0.1,0.164,207.969,237973
Mad World (Feat. Michael Andrews),Gary Jules,70,Trading Snakeoil for Wolftickets,2002-01-01,Deep-deep Bubble Pop,pop,indie poptimism,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,189507
OPTIMISTIC,X Ambassadors,46,OPTIMISTIC,2019-08-23,"Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)",pop,indie poptimism,0.346,0.928,0,-5.074,1,0.0851,0.00244,0,0.685,0.416,163.949,165593
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,44,Listen Again,2015-11-27,Electropop - Pop,pop,electropop,0.347,0.772,5,-4.359,0,0.0549,0.0597,0.0333,0.115,0.035,192.118,191412
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,60,Listen,2014-11-21,ELECTROPOP,pop,electropop,0.347,0.772,5,-4.359,0,0.0549,0.0597,0.0333,0.115,0.035,192.118,191412
tired of my life,updog,40,tired of my life,2019-09-18,Electropop,pop,electropop,0.348,0.478,11,-8.69,0,0.107,0.144,2.17E-05,0.646,0.358,174.973,132414
17,Youth Lagoon,58,The Year of Hibernation,2011,Ultimate Indie Presents... Best Indie Tracks of the 2010s,pop,dance pop,0.348,0.263,0,-8.531,1,0.0516,0.835,0.654,0.129,0.12,74.517,236000
You Might As Well Be In Space,The Years Gone By,0,Forever Comes Too Soon,2008-09-02,Pop Punk | Post-Hardcore,pop,post-teen pop,0.35,0.956,11,-3.737,0,0.0807,0.00707,0,0.239,0.668,145.431,193173
Playing The Blame Game,You Me At Six,38,Hold Me Down,2010-01-01,Pop Punk | Post-Hardcore,pop,post-teen pop,0.35,0.866,11,-4.859,0,0.0607,0.0029,0.000325,0.0897,0.588,172.158,185733
Taro,alt-J,63,An Awesome Wave,2012-05-28,Indie/Jazz Poptimism,pop,indie poptimism,0.35,0.476,5,-10.653,1,0.034,0.765,0.0039,0.0785,0.293,171.938,314987
If I Were In Your Shoes,You Me At Six,0,Take Off Your Colours,2008,Pop Punk | Post-Hardcore,pop,post-teen pop,0.351,0.923,6,-3.237,0,0.0553,4.49E-05,0,0.16,0.703,186.117,181333
This is Our Song,Demi Lovato,44,Camp Rock 2: The Final Jam,2010-01-01,Post teen pop,pop,post-teen pop,0.351,0.626,7,-5.314,1,0.0358,0.0867,0,0.0937,0.394,129.568,178333
Mad World,Michael Andrews,2,Donnie Darko,2002-04-02,Deep-deep Bubble Pop,pop,indie poptimism,0.353,0.0811,3,-14.573,1,0.0351,0.966,2.27E-06,0.104,0.356,173.415,187933
Belong,TENDER,35,Armour EP,2015-09-13,Music&Other Drugs,pop,indie poptimism,0.353,0.316,9,-10.638,1,0.0306,0.403,0.342,0.323,0.0693,94.936,252474
Wouldn't Change a Thing,Demi Lovato,52,Camp Rock 2: The Final Jam,2010-01-01,Post teen pop,pop,post-teen pop,0.353,0.879,1,-3.486,1,0.0833,0.0843,0,0.105,0.516,171.762,205040
